Idiom ID,English Idiom,English Sentence,Urdu Native Idiom,Target A (Native Idiomatic),Target B (Native Descriptive),Target C (Native Literal),Roman Urdu Idiom,Target A (Roman Idiomatic),Target B (Roman Descriptive),Target C (Roman Literal)
84,food for thought,"The professor's lecture was truly **food for thought**, prompting us to rethink our approach to the subject.",فکر کا سامان,"پروفیسر کا لیکچر واقعی فکر کا سامان تھا، جس نے ہمیں اس موضوع کے بارے میں اپنے نقطۂ نظر پر دوبارہ غور کرنے پر مجبور کیا۔",پروفیسر کا لیکچر واقعی ایسا تھا جس نے ہمیں گہرائی سے سوچنے اور اپنے اندازِ فکر کو بدلنے پر آمادہ کیا۔,"پروفیسر کا لیکچر واقعی سوچ کے لیے کھانا تھا، جس نے ہمیں اس موضوع پر دوبارہ سوچنے پر مجبور کیا۔",Fikar ka samaan,"Professor ka lecture waqai Fikar ka samaan tha, jis ne humein is mauzoo ke bare mein apne nuqtay nazar par dobara ghour karne par majboor kiya.",Professor ka lecture waqai aisa tha jis ne humein gehraai se sochnay aur apne andaaz-e-fikr ko badalnay par amada kiya.,"Professor ka lecture waqai soch ke liye khana tha, jis ne humein is mauzoo par dobara sochnay par majboor kiya."
85,foot the bill,"After the party, I had to foot the bill for all the drinks we ordered.",جیب ڈھیلی کرنا,پارٹی کے بعد مجھے تمام مشروبات کے لیے جیب ڈھیلی کرنا پڑی۔,پارٹی کے بعد مجھے تمام مشروبات کے پیسے ادا کرنے پڑے۔,پارٹی کے بعد مجھے تمام مشروبات کے لیے بل پر پاؤں رکھنا پڑا۔,Jaib dheeli karna,Party ke baad mujhe tamaam mashroobat ke liye Jaib dheeli karna pari.,Party ke baad mujhe tamaam mashroobat ke paise ada karne pare.,Party ke baad mujhe tamaam mashroobat ke liye bill par paon rakhna para.
86,force someone's hand,The unexpected deadline really forced his hand to finish the project early.,مجبوراً قدم اٹھانا,غیر متوقع ڈیڈ لائن نے اسے منصوبہ جلد مکمل کرنے کے لیے مجبوراً قدم اٹھانے پر مجبور کر دیا۔,غیر متوقع ڈیڈ لائن نے اسے منصوبہ جلد مکمل کرنے پر مجبور کر دیا۔,غیر متوقع ڈیڈ لائن نے واقعی اس کا ہاتھ زبردستی کر دیا کہ وہ منصوبہ جلد مکمل کرے۔,majbooran qadam uthana,Ghair mutawaqqa deadline ne usay mansooba jald mukammal karne ke liye majbooran qadam uthane par majboor kar diya.,Ghair mutawaqqa deadline ne usay mansooba jald mukammal karne par majboor kar diya.,Ghair mutawaqqa deadline ne waqai uska haath zabardasti kar diya ke woh mansooba jald mukammal kare.
87,frighten out of one's wits,The sudden loud noise frightened me out of my wits.,حواس باختہ کر دینا,اچانک زور دار آواز نے مجھے حواس باختہ کر دیا۔,اچانک زور دار آواز نے مجھے اتنا ڈرا دیا کہ میں کچھ سمجھ نہ سکا۔,اچانک زور دار آواز نے مجھے اپنی عقلوں سے باہر ڈرا دیا۔,Hawaas bakhta kar dena,Achanak zor daar awaaz ne mujhe Hawaas bakhta kar diya.,Achanak zor daar awaaz ne mujhe itna dara diya ke main kuch samajh na saka.,Achanak zor daar awaaz ne mujhe apni aqlon se bahar dara diya.
88,have a frog in one's throat,"I tried to speak during the meeting, but I had a frog in my throat and couldn't get the words out.",گلا بیٹھ جانا,"میں نے میٹنگ کے دوران بولنے کی کوشش کی، لیکن میرا گلا بیٹھ گیا تھا اور میں الفاظ ادا نہیں کر سکا۔","میں نے میٹنگ کے دوران بولنے کی کوشش کی، لیکن میرا گلا خراب تھا اور میں بات نہیں کر پا رہا تھا۔","میں نے میٹنگ کے دوران بولنے کی کوشش کی، لیکن میرے گلے میں مینڈک تھا اور میں الفاظ نہیں نکال سکا۔",gala baith jana,"Main ne meeting ke dauran bolne ki koshish ki, lekin mera gala baith gaya tha aur main alfaz ada nahi kar saka.","Main ne meeting ke dauran bolne ki koshish ki, lekin mera gala kharab tha aur main baat nahi kar pa raha tha.","Main ne meeting ke dauran bolne ki koshish ki, lekin mere galay mein mendak tha aur main alfaz nahi nikal saka."
89,get a grip,"After failing the exam, Jake realized he needed to get a grip on his studies.",ہوش کے ناخن لو,"امتحان میں ناکام ہونے کے بعد، جیک کو احساس ہوا کہ اسے اپنی پڑھائی پر ہوش کے ناخن لینے چاہییں۔","امتحان میں ناکام ہونے کے بعد، جیک کو احساس ہوا کہ اسے اپنی پڑھائی پر قابو پانے کی ضرورت ہے۔","امتحان میں ناکام ہونے کے بعد، جیک کو احساس ہوا کہ اسے اپنی پڑھائی کو مضبوطی سے پکڑنے کی ضرورت ہے۔",Hosh ke nakhun lo,"Imtihaan mein nakaam hone ke baad, Jake ko ehsaas hua ke usay apni parhai par Hosh ke nakhun lene chahiyein.","Imtihaan mein nakaam hone ke baad, Jake ko ehsaas hua ke usay apni parhai par qaboo paane ki zarurat hai.","Imtihaan mein nakaam hone ke baad, Jake ko ehsaas hua ke usay apni parhai ko mazbooti se pakadne ki zarurat hai."
90,get the ball rolling,Let's get the ball rolling on this project so we can meet the deadline.,بسم اللہ کرنا,آؤ اس منصوبے پر بسم اللہ کریں تاکہ ہم وقت پر اسے مکمل کر سکیں۔,آؤ اس منصوبے کا آغاز کریں تاکہ ہم مقررہ وقت پر اسے مکمل کر سکیں۔,آؤ اس منصوبے پر گیند کو گھمانا شروع کریں تاکہ ہم آخری تاریخ تک پہنچ سکیں۔,Bismillah karna,Aao is mansoobay par Bismillah karen taake hum waqt par ise mukammal kar saken.,Aao is mansoobay ka aaghaz karen taake hum muqarrar waqt par ise mukammal kar saken.,Aao is mansoobay par gaind ko ghumana shuru karen taake hum aakhri tareekh tak pohanch saken.
91,get/have the blues,"After losing his job, John really started to get the blues.",دل بجھنا,نوکری کھونے کے بعد جان کا دل بجھ گیا۔,نوکری کھونے کے بعد جان بہت اداس اور مایوس ہو گیا۔,نوکری کھونے کے بعد جان نے واقعی نیلا پن محسوس کرنا شروع کر دیا۔,Dil bujhna,Naukri khone ke baad John ka Dil bujh gaya.,Naukri khone ke baad John bohat udaas aur mayoos ho gaya.,Naukri khone ke baad John ne waqai neela pan mehsoos karna shuru kar diya.
92,get the brushoff,"After asking for a raise, I felt like I just got the brushoff from my boss.",ٹھنڈا جواب ملنا,تنخواہ میں اضافہ مانگنے کے بعد مجھے لگا جیسے میرے باس سے مجھے ٹھنڈا جواب ملا۔,تنخواہ بڑھانے کی درخواست کے بعد مجھے محسوس ہوا کہ میرے باس نے میری بات کو نظرانداز کر دیا۔,تنخواہ میں اضافہ مانگنے کے بعد مجھے لگا جیسے میرے باس نے مجھے برش آف کر دیا۔,Thanda jawab milna,Tankhwah mein izafa maangne ke baad mujhe laga jaise mere boss se mujhe Thanda jawab mila.,Tankhwah barhane ki darkhwast ke baad mujhe mehsoos hua ke mere boss ne meri baat ko nazarandaaz kar diya.,Tankhwah mein izafa maangne ke baad mujhe laga jaise mere boss ne mujhe brush off kar diya.
93,get the floor,"During the meeting, I was finally able to get the floor and share my ideas.",بات کرنے کا موقع ملنا,"میٹنگ کے دوران، آخرکار مجھے بات کرنے کا موقع ملا اور میں نے اپنے خیالات شیئر کیے۔","میٹنگ کے دوران، آخرکار مجھے سامعین سے خطاب کرنے کی اجازت ملی اور میں نے اپنے خیالات پیش کیے۔","میٹنگ کے دوران، آخرکار میں فرش حاصل کرنے کے قابل ہوا اور اپنے خیالات شیئر کیے۔",baat karne ka mauqa milna,"Meeting ke dauran, aakhirkar mujhe baat karne ka mauqa mila aur maine apne khayalat share kiye.","Meeting ke dauran, aakhirkar mujhe samayeen se khitab karne ki ijazat mili aur maine apne khayalat pesh kiye.","Meeting ke dauran, aakhirkar main farsh hasil karne ke qabil hua aur apne khayalat share kiye."
94,get the message,"After he explained everything, I finally **got the message** about the project changes.",اشارہ سمجھنا,جب اُس نے سب کچھ سمجھایا تو میں نے آخرکار منصوبے میں تبدیلیوں کے بارے میں اشارہ سمجھ لیا۔,جب اُس نے سب کچھ سمجھایا تو میں نے آخرکار منصوبے میں تبدیلیوں کا مطلب سمجھ لیا۔,جب اُس نے سب کچھ سمجھایا تو میں نے آخرکار منصوبے میں تبدیلیوں کا پیغام حاصل کر لیا۔,Ishara samajhna,Jab us ne sab kuch samjhaya to main ne aakhirkar mansoobay mein tabdeeliyon ke bare mein Ishara samajh liya.,Jab us ne sab kuch samjhaya to main ne aakhirkar mansoobay mein tabdeeliyon ka matlab samajh liya.,Jab us ne sab kuch samjhaya to main ne aakhirkar mansoobay mein tabdeeliyon ka paighaam haasil kar liya.
95,get the nod,"After a long discussion, the team finally received the nod to proceed with the project.",ہری جھنڈی ملنا,"طویل بحث کے بعد، ٹیم کو آخرکار منصوبے پر آگے بڑھنے کی ہری جھنڈی مل گئی۔","طویل بحث کے بعد، ٹیم کو آخرکار منصوبے پر آگے بڑھنے کی اجازت مل گئی۔","طویل بحث کے بعد، ٹیم کو آخرکار سر ہلانے کی اجازت ملی کہ وہ منصوبے پر آگے بڑھیں۔",Hari jhandi milna,"Taweel behas ke baad, team ko aakhirkar mansoobay par aage barhnay ki Hari jhandi mil gayi.","Taweel behas ke baad, team ko aakhirkar mansoobay par aage barhnay ki ijazat mil gayi.","Taweel behas ke baad, team ko aakhirkar sar hilanay ki ijazat mili ke woh mansoobay par aage barhein."
96,get the picture,"After explaining the project details, I hope you finally get the picture.",بات پلے پڑنا,"پروجیکٹ کی تفصیلات سمجھانے کے بعد، مجھے امید ہے کہ اب تمہیں بات پلے پڑ گئی ہوگی۔","پروجیکٹ کی تفصیلات سمجھانے کے بعد، مجھے امید ہے کہ اب تمہیں صورتحال سمجھ آگئی ہوگی۔","پروجیکٹ کی تفصیلات سمجھانے کے بعد، مجھے امید ہے کہ اب تم تصویر حاصل کرلو گے۔",Baat palley parna,"Project ki tafseelaat samjhanay ke baad, mujhe umeed hai ke ab tumhein baat palley par gayi hogi.","Project ki tafseelaat samjhanay ke baad, mujhe umeed hai ke ab tumhein soorat-e-haal samajh aa gayi hogi.","Project ki tafseelaat samjhanay ke baad, mujhe umeed hai ke ab tum tasveer hasil kar loge."
97,get the sack,"After the company downsized, many employees were worried they might get the sack.",نوکری سے ہاتھ دھونا,"کمپنی کے چھوٹے ہونے کے بعد، بہت سے ملازمین فکر مند تھے کہ کہیں وہ نوکری سے ہاتھ نہ دھو بیٹھیں۔","کمپنی کے چھوٹے ہونے کے بعد، بہت سے ملازمین کو فکر تھی کہ کہیں ان کی ملازمت ختم نہ کر دی جائے۔","کمپنی کے چھوٹے ہونے کے بعد، بہت سے ملازمین کو فکر تھی کہ کہیں انہیں بوری نہ دے دی جائے۔",nokri se haath dhona,"Company ke chhote hone ke baad, bohat se mulaazimeen fikr mand the ke kahin woh nokri se haath na dho baithein.","Company ke chhote hone ke baad, bohat se mulaazimeen ko fikr thi ke kahin unki mulazmat khatam na kar di jaye.","Company ke chhote hone ke baad, bohat se mulaazimeen ko fikr thi ke kahin unhein bori na de di jaye."
98,get your goat,His constant interruptions really get my goat during meetings.,ناک میں دم کرنا,میٹنگز کے دوران اس کی مسلسل مداخلتیں واقعی میری ناک میں دم کر دیتی ہیں۔,میٹنگز کے دوران اس کی مسلسل مداخلتیں مجھے بہت پریشان کر دیتی ہیں۔,میٹنگز کے دوران اس کی مسلسل مداخلتیں واقعی میری بکری لے جاتی ہیں۔,Naak mein dum karna,Meetings ke dauran us ki musalsal mudakhlatein waqai meri Naak mein dum kar deti hain.,Meetings ke dauran us ki musalsal mudakhlatein mujhe bohat pareshan kar deti hain.,Meetings ke dauran us ki musalsal mudakhlatein waqai meri bakri le jati hain.
99,get up on the wrong side of the bed,"She seemed to get up on the wrong side of the bed today, as she was irritable and unfriendly.",اُلٹی طرف سے اُٹھنا,"آج وہ شاید اُلٹی طرف سے اُٹھنا، کیونکہ وہ چڑچڑی اور غیر دوستانہ لگ رہی تھی۔","آج اُس کا دن شاید ٹھیک سے شروع نہیں ہوا، کیونکہ وہ چڑچڑی اور غیر دوستانہ لگ رہی تھی۔","آج وہ بستر کے غلط طرف سے اُٹھی، کیونکہ وہ چڑچڑی اور غیر دوستانہ لگ رہی تھی۔",Ulti taraf se uthna,"Aaj woh shayad Ulti taraf se uthna, kyunke woh chirchiri aur ghair dostana lag rahi thi.","Aaj uska din shayad theek se shuru nahi hua, kyunke woh chirchiri aur ghair dostana lag rahi thi.","Aaj woh bistar ke ghalat taraf se uthi, kyunke woh chirchiri aur ghair dostana lag rahi thi."
100,gild the lily,Adding more decorations to the already beautiful cake would just be gilding the lily.,سونے پہ سہاگہ,پہلے سے خوبصورت کیک پر مزید سجاوٹ کرنا تو سونے پہ سہاگہ ہوگا۔,پہلے سے خوبصورت کیک پر مزید سجاوٹ کرنا اس کی اصل خوبصورتی کو خراب کر دے گا۔,پہلے سے خوبصورت کیک پر مزید سجاوٹ کرنا تو کنول کے پھول پر سونا چڑھانے جیسا ہے۔,Sone pe suhaga,Pehle se khubsurat cake par mazeed sajawat karna to Sone pe suhaga hoga.,Pehle se khubsurat cake par mazeed sajawat karna us ki asal khubsurti ko kharab kar dega.,Pehle se khubsurat cake par mazeed sajawat karna to kanwal ke phool par sona charhane jaisa hai.
101,give (someone) the creeps,The old abandoned house always gives me the creeps when I walk by it at night.,رونگٹے کھڑے ہونا,وہ پرانا ویران گھر جب بھی میں رات کو اس کے پاس سے گزرتا ہوں تو میرے رونگٹے کھڑے ہو جاتے ہیں۔,وہ پرانا ویران گھر جب بھی میں رات کو اس کے پاس سے گزرتا ہوں تو مجھے عجیب سی گھبراہٹ اور خوف محسوس ہوتا ہے۔,وہ پرانا ویران گھر جب بھی میں رات کو اس کے پاس سے گزرتا ہوں تو وہ مجھے جھرجھری دیتا ہے۔,rongte kharay hona,Woh purana veeran ghar jab bhi main raat ko us ke paas se guzarta hoon to mere rongte kharay ho jatay hain.,Woh purana veeran ghar jab bhi main raat ko us ke paas se guzarta hoon to mujhe ajeeb si ghabrahat aur khauf mehsoos hota hai.,Woh purana veeran ghar jab bhi main raat ko us ke paas se guzarta hoon to woh mujhe jhurjhuri deta hai.
102,give (someone) the willies,The horror movie really gave me the willies last night.,رونگٹے کھڑے کر دینا,کل رات وہ خوفناک فلم نے میرے رونگٹے کھڑے کر دیے۔,کل رات وہ خوفناک فلم نے مجھے بہت گھبراہٹ اور بےچینی محسوس کروائی۔,کل رات وہ خوفناک فلم نے مجھے ولیز دے دیے۔,Rongtay kharay kar dena,Kal raat woh khofnaak film ne mere Rongtay kharay kar diye.,Kal raat woh khofnaak film ne mujhe bohat ghabrahat aur bechaini mehsoos karwai.,Kal raat woh khofnaak film ne mujhe willies de diye.
103,give it a whirl,"I've never tried rock climbing before, but I think I might just give it a whirl this weekend.",ہاتھ آزمانا,"میں نے کبھی راک کلائمبنگ نہیں کی، لیکن میرا خیال ہے کہ اس ہفتے کے آخر میں میں اسے ہاتھ آزمانا چاہوں گا۔","میں نے کبھی راک کلائمبنگ نہیں کی، لیکن سوچ رہا ہوں کہ اس ہفتے کے آخر میں اسے آزما کر دیکھوں کہ کیسا لگتا ہے۔","میں نے کبھی راک کلائمبنگ نہیں کی، لیکن میرا خیال ہے کہ اس ہفتے کے آخر میں میں اسے ایک چکر دوں گا۔",Haath aazmana,"Main ne kabhi rock climbing nahi ki, lekin mera khayal hai ke is haftay ke aakhir mein main usay Haath aazmana chahta hoon.","Main ne kabhi rock climbing nahi ki, lekin soch raha hoon ke is haftay ke aakhir mein usay azma kar dekhun ke kaisa lagta hai.","Main ne kabhi rock climbing nahi ki, lekin mera khayal hai ke is haftay ke aakhir mein main usay aik chakkar doon ga."
104,give plenty of rope,"If you want him to learn from his mistakes, you need to give plenty of rope.",ڈھیل دینا,اگر تم چاہتے ہو کہ وہ اپنی غلطیوں سے سیکھے تو تمہیں اسے ڈھیل دینی ہوگی۔,اگر تم چاہتے ہو کہ وہ اپنی غلطیوں سے سیکھے تو تمہیں اسے پوری آزادی دینی ہوگی تاکہ وہ خود سمجھ سکے۔,اگر تم چاہتے ہو کہ وہ اپنی غلطیوں سے سیکھے تو تمہیں اسے بہت سی رسی دینی ہوگی۔,Dheel dena,Agar tum chahtay ho ke woh apni ghaltiyon se seekhay to tumhein usay Dheel deni hogi.,Agar tum chahtay ho ke woh apni ghaltiyon se seekhay to tumhein usay poori azaadi deni hogi taake woh khud samajh sakay.,Agar tum chahtay ho ke woh apni ghaltiyon se seekhay to tumhein usay bohat si rassi deni hogi.
105,give the cold shoulder,"After their argument, she decided to give him the cold shoulder at the party.",منہ پھیر لینا,"جھگڑے کے بعد، اس نے پارٹی میں اس سے منہ پھیر لینے کا فیصلہ کیا۔","جھگڑے کے بعد، اس نے پارٹی میں اس سے بات نہ کرنے اور اسے نظر انداز کرنے کا فیصلہ کیا۔","جھگڑے کے بعد، اس نے پارٹی میں اسے ٹھنڈا کندھا دینے کا فیصلہ کیا۔",munh pher lena,"Jhagray ke baad, us ne party mein us se munh pher lene ka faisla kiya.","Jhagray ke baad, us ne party mein us se baat na karne aur use nazar andaaz karne ka faisla kiya.","Jhagray ke baad, us ne party mein use thanda kandha dene ka faisla kiya."
106,go the limit,"When it comes to achieving her goals, she is willing to go the limit.",جان کی بازی لگانا,جب اپنے مقاصد حاصل کرنے کی بات آتی ہے تو وہ جان کی بازی لگانے کے لیے تیار ہوتی ہے۔,جب اپنے مقاصد حاصل کرنے کی بات آتی ہے تو وہ اپنی پوری کوشش کرنے کے لیے تیار ہوتی ہے۔,جب اپنے مقاصد حاصل کرنے کی بات آتی ہے تو وہ حد تک جانے کے لیے تیار ہوتی ہے۔,Jaan ki baazi lagana,Jab apne maqsad haasil karne ki baat aati hai to woh jaan ki baazi lagane ke liye tayyar hoti hai.,Jab apne maqsad haasil karne ki baat aati hai to woh apni poori koshish karne ke liye tayyar hoti hai.,Jab apne maqsad haasil karne ki baat aati hai to woh had tak jane ke liye tayyar hoti hai.
107,go the whole hog,"If we're going to renovate the house, we should go the whole hog and not cut any corners.",کوئی کسر نہ چھوڑنا,اگر ہم گھر کی مرمت کرنے جا رہے ہیں تو ہمیں کوئی کسر نہ چھوڑنا چاہیے اور کسی پہلو میں کمی نہیں کرنی چاہیے۔,اگر ہم گھر کی مرمت کرنے جا رہے ہیں تو ہمیں اسے مکمل طور پر اور پوری محنت سے کرنا چاہیے تاکہ کوئی حصہ ادھورا نہ رہ جائے۔,اگر ہم گھر کی مرمت کرنے جا رہے ہیں تو ہمیں پورا سور جانا چاہیے اور کوئی کونا نہ کاٹنا چاہیے۔,Koi kasar na chorna,Agar hum ghar ki marammat karne ja rahe hain to humein Koi kasar na chorna chahiye aur kisi pehlu mein kami nahi karni chahiye.,Agar hum ghar ki marammat karne ja rahe hain to humein ise mukammal tor par aur poori mehnat se karna chahiye taake koi hissa adhoora na reh jaye.,Agar hum ghar ki marammat karne ja rahe hain to humein poora soor jana chahiye aur koi kona na kaatna chahiye.
108,go to pieces,"When she heard the bad news, she began to go to pieces in front of everyone.",ہوش و حواس کھو بیٹھنا,جب اسے بری خبر ملی تو وہ سب کے سامنے ہوش و حواس کھو بیٹھنے لگی۔,جب اسے بری خبر ملی تو وہ سب کے سامنے بہت پریشان اور الجھن میں پڑ گئی۔,جب اسے بری خبر ملی تو وہ سب کے سامنے ٹکڑوں میں بکھرنے لگی۔,hosh o hawas kho baithna,Jab usay buri khabar mili to woh sab ke samne hosh o hawas kho baithne lagi.,Jab usay buri khabar mili to woh sab ke samne bohat pareshan aur uljhan mein par gayi.,Jab usay buri khabar mili to woh sab ke samne tukron mein bikharne lagi.
109,grease the wheels,"To ensure the project progresses smoothly, we need to grease the wheels with some initial funding.",چکنی چپڑی باتوں سے کام نکالنا,منصوبے کی پیش رفت کو ہموار بنانے کے لیے ہمیں ابتدائی فنڈنگ سے چکنی چپڑی باتوں سے کام نکالنا ہوگا۔,منصوبے کی پیش رفت کو ہموار بنانے کے لیے ہمیں ابتدائی فنڈنگ سے کام کو آسان بنانا ہوگا۔,منصوبے کی پیش رفت کو ہموار بنانے کے لیے ہمیں پہیوں کو چکنا کرنے کے لیے ابتدائی فنڈنگ دینی ہوگی۔,chakni chapri baton se kaam nikalna,Mansubay ki paish raft ko hamwar banane ke liye humein ibtidaai funding se chakni chapri baton se kaam nikalna hoga.,Mansubay ki paish raft ko hamwar banane ke liye humein ibtidaai funding se kaam ko aasaan banana hoga.,Mansubay ki paish raft ko hamwar banane ke liye humein peiyon ko chakna karne ke liye ibtidaai funding deni hogi.
110,handle with kid gloves,You need to handle the new employee with kid gloves until he gets used to the work environment.,نرمی سے پیش آنا,تمہیں نئے ملازم کے ساتھ نرمی سے پیش آنا چاہیے جب تک وہ کام کے ماحول کا عادی نہیں ہو جاتا۔,تمہیں نئے ملازم کے ساتھ بہت احتیاط اور نرمی سے برتاؤ کرنا چاہیے جب تک وہ کام کے ماحول کو سمجھ نہ لے۔,تمہیں نئے ملازم کو بچوں کے دستانوں سے سنبھالنا چاہیے جب تک وہ کام کے ماحول کا عادی نہ ہو جائے۔,Narmi se pesh aana,Tumhein naye mulazim ke saath Narmi se pesh aana chahiye jab tak woh kaam ke mahol ka aadi nahi ho jata.,Tumhein naye mulazim ke saath bohat ehtiyaat aur narmi se bartao karna chahiye jab tak woh kaam ke mahol ko samajh na le.,Tumhein naye mulazim ko bachon ke dastanon se sambhalna chahiye jab tak woh kaam ke mahol ka aadi na ho jaye.
111,have a ball,We really had a ball at the party last night.,خوب رنگ زمانہ,ہم نے کل رات پارٹی میں خوب رنگ زمانہ کیا۔,ہم نے کل رات پارٹی میں بہت مزہ کیا۔,ہم نے کل رات پارٹی میں ایک گیند رکھی۔,Khoob rang jamana,Hum ne kal raat party mein Khoob rang jamana kiya.,Hum ne kal raat party mein bohat maza kiya.,Hum ne kal raat party mein aik gaind rakhi.
112,have a fit,"When she found out that he had lost her favorite book, she nearly had a fit.",غصّے سے آگ بگولا ہونا,جب اسے پتا چلا کہ اُس نے اُس کی پسندیدہ کتاب گُم کر دی ہے تو وہ غصّے سے آگ بگولا ہو گئی۔,جب اسے معلوم ہوا کہ اُس نے اُس کی پسندیدہ کتاب کھو دی ہے تو وہ بہت زیادہ ناراض ہو گئی۔,جب اسے پتا چلا کہ اُس نے اُس کی پسندیدہ کتاب گُم کر دی ہے تو وہ تقریباً ایک دورہ پڑنے والی تھی۔,ghusse se aag bagola hona,Jab usay pata chala ke us ne us ki pasandeeda kitaab gum kar di hai to woh ghusse se aag bagola ho gayi.,Jab usay maloom hua ke us ne us ki pasandeeda kitaab kho di hai to woh bohat zyada naraz ho gayi.,Jab usay pata chala ke us ne us ki pasandeeda kitaab gum kar di hai to woh taqreeban aik daura parnay wali thi.
113,have a go,I think I will have a go at baking a cake this weekend.,قسمت آزمانا,میرا خیال ہے کہ میں اس ہفتے کے آخر میں کیک بنانے میں قسمت آزمانا چاہوں گا۔,میرا خیال ہے کہ میں اس ہفتے کے آخر میں کیک بنانے کی کوشش کروں گا۔,میرا خیال ہے کہ میں اس ہفتے کے آخر میں کیک بنانے پر ایک موقع لوں گا۔,qismat aazmana,Mera khayal hai ke main is haftay ke aakhir mein cake bananay mein qismat aazmana chahta hoon.,Mera khayal hai ke main is haftay ke aakhir mein cake bananay ki koshish karoon ga.,Mera khayal hai ke main is haftay ke aakhir mein cake bananay par aik mauqa loonga.
114,have a screw loose,I think he might have a screw loose because he keeps talking to himself.,دماغ کا پیچ ڈھیلا ہے,مجھے لگتا ہے کہ اس کا دماغ کا پیچ ڈھیلا ہے کیونکہ وہ خود سے باتیں کرتا رہتا ہے۔,مجھے لگتا ہے کہ وہ تھوڑا سا پاگل ہے کیونکہ وہ خود سے باتیں کرتا رہتا ہے۔,مجھے لگتا ہے کہ اس کے پاس ایک پیچ ڈھیلا ہے کیونکہ وہ خود سے باتیں کرتا رہتا ہے۔,dimaag ka paich dheela hai,Mujhe lagta hai ke us ka dimaag ka paich dheela hai kyunke woh khud se baatein karta rehta hai.,Mujhe lagta hai ke woh thoda sa paagal hai kyunke woh khud se baatein karta rehta hai.,Mujhe lagta hai ke us ke paas aik paich dheela hai kyunke woh khud se baatein karta rehta hai.
115,have/take a stab,I decided to have a stab at baking a cake for the party.,تکا لگانا,میں نے پارٹی کے لیے کیک بنانے پر تکا لگانے کا فیصلہ کیا۔,میں نے پارٹی کے لیے کیک بنانے کی کوشش کرنے کا فیصلہ کیا۔,میں نے پارٹی کے لیے کیک پر چھرا مارنے کا فیصلہ کیا۔,Tukka lagana,Main ne party ke liye cake banane par Tukka lagane ka faisla kiya.,Main ne party ke liye cake banane ki koshish karne ka faisla kiya.,Main ne party ke liye cake par chhura maarne ka faisla kiya.
116,have an ax to grind,I suspect that he has an ax to grind in this discussion about the project budget.,اپنی دکان چمکانا,مجھے شک ہے کہ وہ اس منصوبے کے بجٹ پر بحث میں اپنی دکان چمکانا چاہتا ہے۔,مجھے لگتا ہے کہ وہ اس منصوبے کے بجٹ پر بحث میں اپنے ذاتی مفاد کے لیے شامل ہے۔,مجھے شک ہے کہ وہ اس منصوبے کے بجٹ پر بحث میں کلہاڑی پیسنے کے لیے شامل ہے۔,Apni dukaan chamkana,Mujhe shak hai ke woh is mansoobay ke budget par behas mein Apni dukaan chamkana chahta hai.,Mujhe lagta hai ke woh is mansoobay ke budget par behas mein apne zaati mufad ke liye shaamil hai.,Mujhe shak hai ke woh is mansoobay ke budget par behas mein kulhaari peesne ke liye shaamil hai.
117,have an out,"Whenever she gets caught in a lie, she always seems to have an out.",بچنے کا راستہ,"جب بھی وہ جھوٹ میں پکڑی جاتی ہے، تو ہمیشہ اس کے پاس بچنے کا راستہ ہوتا ہے۔","جب بھی وہ جھوٹ میں پکڑی جاتی ہے، تو کسی نہ کسی طرح اپنے آپ کو بچا لیتی ہے۔","جب بھی وہ جھوٹ میں پکڑی جاتی ہے، تو ہمیشہ اس کے پاس ایک باہر ہوتا ہے۔",Bachne ka rasta,"Jab bhi woh jhoot mein pakri jaati hai, to hamesha us ke paas bachne ka rasta hota hai.","Jab bhi woh jhoot mein pakri jaati hai, to kisi na kisi tarah apne aap ko bacha leti hai.","Jab bhi woh jhoot mein pakri jaati hai, to hamesha us ke paas aik bahar hota hai."
118,have cold feet,"When it was time to give his presentation, he started to have cold feet.",ہمت ہار جانا,جب اس کی پیشکش دینے کا وقت آیا تو وہ ہمت ہار گیا۔,جب اس کی پیشکش دینے کا وقت آیا تو وہ گھبرا گیا اور ڈر کے مارے پیشکش نہیں دینا چاہتا تھا۔,جب اس کی پیشکش دینے کا وقت آیا تو اس کے پاؤں ٹھنڈے ہو گئے۔,Himmat haar jana,Jab us ki paishkash dene ka waqt aaya to woh Himmat haar gaya.,Jab us ki paishkash dene ka waqt aaya to woh ghabra gaya aur dar ke maare paishkash nahi dena chahta tha.,Jab us ki paishkash dene ka waqt aaya to us ke paon thanday ho gaye.
119,have (an) egg on your face,"After making that embarrassing mistake in the meeting, I really had an egg on my face.",منہ کی کھانی پڑنا,میٹنگ میں وہ شرمناک غلطی کرنے کے بعد مجھے واقعی منہ کی کھانی پڑی۔,میٹنگ میں وہ شرمناک غلطی کرنے کے بعد میں واقعی بہت شرمندہ ہوا۔,میٹنگ میں وہ شرمناک غلطی کرنے کے بعد میرے چہرے پر انڈہ تھا۔,munh ki khaani parna,Meeting mein woh sharmnaak ghalti karne ke baad mujhe waqai munh ki khaani pari.,Meeting mein woh sharmnaak ghalti karne ke baad main waqai bohat sharminda hua.,Meeting mein woh sharmnaak ghalti karne ke baad mere chehre par anda tha.
